Timestamp,MAC,RSSI,UUID,RPI,Version,TX_Power,Reserved
1588273539.8799007,b8:27:eb:74:3e:15,-67,fd6f,b1020304050607080910111213141516,40,0c,0000
1588273549.8332562,b8:27:eb:74:3e:15,-66,fd6f,b1020304050607080910111213141516,40,0c,0000
1588273569.8452008,b8:27:eb:74:3e:15,-71,fd6f,b1020304050607080910111213141516,40,0c,0000
1588273579.8372524,b8:27:eb:74:3e:15,-4294967295,066f,0007080910111213141516400c0000cd,04,3e,0c02
1588273589.8332915,b8:27:eb:74:3e:15,-66,fd6f,b1020304050607080910111213141516,40,0c,0000
1588273599.7985086,b8:27:eb:74:3e:15,-72,fd6f,b1020304050607080910111213141516,40,0c,0000
1588273609.7540753,b8:27:eb:74:3e:15,-66,fd6f,b1020304050607080910111213141516,40,0c,0000
1588273619.6952507,b8:27:eb:74:3e:15,-67,fd6f,b1020304050607080910111213141516,40,0c,0000
1588273629.6495967,b8:27:eb:74:3e:15,-70,fd6f,b1020304050607080910111213141516,40,0c,0000
1588273639.5959487,b8:27:eb:74:3e:15,-67,fd6f,b1020304050607080910111213141516,40,0c,0000
1588273649.5957506,b8:27:eb:74:3e:15,-55,fd6f,b1020304050607080910111213141516,40,0c,0000
1588273659.5543084,b8:27:eb:74:3e:15,-72,fd6f,b1020304050607080910111213141516,40,0c,0000
1588273669.491095,b8:27:eb:74:3e:15,-66,fd6f,b1020304050607080910111213141516,40,0c,0000
1588273679.4921083,b8:27:eb:74:3e:15,-67,fd6f,b1020304050607080910111213141516,40,0c,0000
1588273689.4136634,b8:27:eb:74:3e:15,-66,fd6f,b1020304050607080910111213141516,40,0c,0000
1588273699.3696153,b8:27:eb:74:3e:15,-66,fd6f,b1020304050607080910111213141516,40,0c,0000
1588273709.361611,b8:27:eb:74:3e:15,-67,fd6f,b1020304050607080910111213141516,40,0c,0000
1588273719.3796444,b8:27:eb:74:3e:15,-67,fd6f,b1020304050607080910111213141516,40,0c,0000
1588273729.3836164,b8:27:eb:74:3e:15,-71,fd6f,b1020304050607080910111213141516,40,0c,0000
1588273739.361976,b8:27:eb:74:3e:15,-70,fd6f,b1020304050607080910111213141516,40,0c,0000
1588273749.3062723,b8:27:eb:74:3e:15,-4294967234,036f,0004050607080910111213141516400c,00,00,bd04
1588273759.264982,b8:27:eb:74:3e:15,-56,fd6f,b1020304050607080910111213141516,40,0c,0000
1588273769.2606907,b8:27:eb:74:3e:15,-66,fd6f,b1020304050607080910111213141516,40,0c,0000
1588273779.26609,b8:27:eb:74:3e:15,-72,fd6f,b1020304050607080910111213141516,40,0c,0000
1588273789.229191,b8:27:eb:74:3e:15,-68,fd6f,b1020304050607080910111213141516,40,0c,0000
1588273799.1786976,b8:27:eb:74:3e:15,-66,fd6f,b1020304050607080910111213141516,40,0c,0000
1588273809.1508965,b8:27:eb:74:3e:15,-56,fd6f,b1020304050607080910111213141516,40,0c,0000
1588273829.164984,b8:27:eb:74:3e:15,-55,fd6f,b1020304050607080910111213141516,40,0c,0000
1588273839.1265202,b8:27:eb:74:3e:15,-71,fd6f,b1020304050607080910111213141516,40,0c,0000
1588273849.0881996,b8:27:eb:74:3e:15,-66,fd6f,b1020304050607080910111213141516,40,0c,0000
1588273859.053624,b8:27:eb:74:3e:15,-4294967293,076f,00080910111213141516400c0000bd04,3e,2b,0201
1588273869.0506299,b8:27:eb:74:3e:15,-66,fd6f,b1020304050607080910111213141516,40,0c,0000
1588273879.0583246,b8:27:eb:74:3e:15,-72,fd6f,b1020304050607080910111213141516,40,0c,0000
1588273889.0655868,b8:27:eb:74:3e:15,-50,fd6f,b1020304050607080910111213141516,40,0c,0000
1588273898.9774745,b8:27:eb:74:3e:15,-70,fd6f,b1020304050607080910111213141516,40,0c,0000
1588273908.9904454,b8:27:eb:74:3e:15,-70,fd6f,b1020304050607080910111213141516,40,0c,0000
1588273918.9261732,b8:27:eb:74:3e:15,-65,fd6f,b1020304050607080910111213141516,40,0c,0000
1588273928.9530098,b8:27:eb:74:3e:15,-51,fd6f,b1020304050607080910111213141516,40,0c,0000
1588273948.9095912,b8:27:eb:74:3e:15,-67,fd6f,b1020304050607080910111213141516,40,0c,0000
1588273958.8311186,b8:27:eb:74:3e:15,-67,fd6f,b1020304050607080910111213141516,40,0c,0000
1588273968.852957,b8:27:eb:74:3e:15,-70,fd6f,b1020304050607080910111213141516,40,0c,0000
1588273978.8173995,b8:27:eb:74:3e:15,-66,fd6f,b1020304050607080910111213141516,40,0c,0000
1588273988.7528949,b8:27:eb:74:3e:15,-66,fd6f,b1020304050607080910111213141516,40,0c,0000
1588273998.7463324,b8:27:eb:74:3e:15,-70,fd6f,b1020304050607080910111213141516,40,0c,0000
1588274008.7513688,b8:27:eb:74:3e:15,-70,fd6f,b1020304050607080910111213141516,40,0c,0000
1588274018.6912234,b8:27:eb:74:3e:15,-67,fd6f,b1020304050607080910111213141516,40,0c,0000
1588274028.7169375,b8:27:eb:74:3e:15,-66,fd6f,b1020304050607080910111213141516,40,0c,0000
1588274038.7309656,b8:27:eb:74:3e:15,-51,fd6f,b1020304050607080910111213141516,40,0c,0000
1588274048.7409337,b8:27:eb:74:3e:15,-72,fd6f,b1020304050607080910111213141516,40,0c,0000
1588274058.7001512,b8:27:eb:74:3e:15,-50,fd6f,b1020304050607080910111213141516,40,0c,0000
1588274068.7074163,b8:27:eb:74:3e:15,-67,fd6f,b1020304050607080910111213141516,40,0c,0000
1588274078.710342,b8:27:eb:74:3e:15,-56,fd6f,b1020304050607080910111213141516,40,0c,0000
1588274088.7247152,b8:27:eb:74:3e:15,-65,fd6f,b1020304050607080910111213141516,40,0c,0000
1588274098.730544,b8:27:eb:74:3e:15,-72,fd6f,b1020304050607080910111213141516,40,0c,0000
1588274108.7350545,b8:27:eb:74:3e:15,-71,fd6f,b1020304050607080910111213141516,40,0c,0000
1588274118.643057,b8:27:eb:74:3e:15,-51,fd6f,b1020304050607080910111213141516,40,0c,0000
1588274128.5904381,b8:27:eb:74:3e:15,-66,fd6f,b1020304050607080910111213141516,40,0c,0000
1588274138.576326,b8:27:eb:74:3e:15,-67,fd6f,b1020304050607080910111213141516,40,0c,0000
1588274148.53681,b8:27:eb:74:3e:15,-50,fd6f,b1020304050607080910111213141516,40,0c,0000
1588274158.5193932,b8:27:eb:74:3e:15,-70,fd6f,b1020304050607080910111213141516,40,0c,0000
1588274168.4807384,b8:27:eb:74:3e:15,-70,fd6f,b1020304050607080910111213141516,40,0c,0000
1588274178.4719875,b8:27:eb:74:3e:15,-52,fd6f,b1020304050607080910111213141516,40,0c,0000
1588274188.4692383,b8:27:eb:74:3e:15,-67,fd6f,b1020304050607080910111213141516,40,0c,0000
1588274198.422645,b8:27:eb:74:3e:15,-65,fd6f,b1020304050607080910111213141516,40,0c,0000
1588274208.4562135,b8:27:eb:74:3e:15,-66,fd6f,b1020304050607080910111213141516,40,0c,0000
1588274218.4701192,b8:27:eb:74:3e:15,-66,fd6f,b1020304050607080910111213141516,40,0c,0000
1588274228.4853182,b8:27:eb:74:3e:15,-68,fd6f,b1020304050607080910111213141516,40,0c,0000
1588274238.483946,b8:27:eb:74:3e:15,-71,fd6f,b1020304050607080910111213141516,40,0c,0000
1588274248.4835415,b8:27:eb:74:3e:15,-66,fd6f,b1020304050607080910111213141516,40,0c,0000
1588274258.4756267,b8:27:eb:74:3e:15,-68,fd6f,b1020304050607080910111213141516,40,0c,0000
1588274268.4381812,b8:27:eb:74:3e:15,-50,fd6f,b1020304050607080910111213141516,40,0c,0000
1588274278.4033341,b8:27:eb:74:3e:15,-66,fd6f,b1020304050607080910111213141516,40,0c,0000
1588274288.3841107,b8:27:eb:74:3e:15,-66,fd6f,b1020304050607080910111213141516,40,0c,0000
1588274298.371652,b8:27:eb:74:3e:15,-66,fd6f,b1020304050607080910111213141516,40,0c,0000
