Timestamp,MAC,RSSI,UUID,RPI,Version,TX_Power,Reserved
1588182582.7070236,b8:27:eb:18:18:33,-41,fd6f,a1020304050607080910111213141516,40,0c,0000
1588182593.147389,b8:27:eb:18:18:33,-55,fd6f,a1020304050607080910111213141516,40,0c,0000
1588182603.4955325,b8:27:eb:18:18:33,-55,fd6f,a1020304050607080910111213141516,40,0c,0000
1588182613.9464502,b8:27:eb:18:18:33,-55,fd6f,a1020304050607080910111213141516,40,0c,0000
1588182624.3568094,b8:27:eb:18:18:33,-58,fd6f,a1020304050607080910111213141516,40,0c,0000
1588182634.7014122,b8:27:eb:18:18:33,-55,fd6f,a1020304050607080910111213141516,40,0c,0000
1588182645.0998416,b8:27:eb:18:18:33,-58,fd6f,a1020304050607080910111213141516,40,0c,0000
1588182655.5634859,b8:27:eb:18:18:33,-54,fd6f,a1020304050607080910111213141516,40,0c,0000
1588182666.0658658,b8:27:eb:18:18:33,-55,fd6f,a1020304050607080910111213141516,40,0c,0000
1588182676.5443523,b8:27:eb:18:18:33,-55,fd6f,a1020304050607080910111213141516,40,0c,0000
1588182686.9983897,b8:27:eb:18:18:33,-59,fd6f,a1020304050607080910111213141516,40,0c,0000
1588182697.3949032,b8:27:eb:18:18:33,-59,fd6f,a1020304050607080910111213141516,40,0c,0000
1588182707.762209,b8:27:eb:18:18:33,-39,fd6f,a1020304050607080910111213141516,40,0c,0000
1588182718.179728,b8:27:eb:18:18:33,-42,fd6f,a1020304050607080910111213141516,40,0c,0000
1588182728.6164598,b8:27:eb:18:18:33,-53,fd6f,a1020304050607080910111213141516,40,0c,0000
1588182739.012334,b8:27:eb:18:18:33,-59,fd6f,a1020304050607080910111213141516,40,0c,0000
1588182749.472044,b8:27:eb:18:18:33,-58,fd6f,a1020304050607080910111213141516,40,0c,0000
1588182759.9206772,b8:27:eb:18:18:33,-39,fd6f,a1020304050607080910111213141516,40,0c,0000
1588182770.3849046,b8:27:eb:18:18:33,-43,fd6f,a1020304050607080910111213141516,40,0c,0000
1588182780.813619,b8:27:eb:18:18:33,-53,fd6f,a1020304050607080910111213141516,40,0c,0000
1588182791.1856673,b8:27:eb:18:18:33,-55,fd6f,a1020304050607080910111213141516,40,0c,0000
1588182801.5892472,b8:27:eb:18:18:33,-55,fd6f,a1020304050607080910111213141516,40,0c,0000
1588182811.9723742,b8:27:eb:18:18:33,-55,fd6f,a1020304050607080910111213141516,40,0c,0000
1588182822.4204223,b8:27:eb:18:18:33,-62,fd6f,a1020304050607080910111213141516,40,0c,0000
1588182832.880344,b8:27:eb:18:18:33,-55,fd6f,a1020304050607080910111213141516,40,0c,0000
1588182843.2649827,b8:27:eb:18:18:33,-61,fd6f,a1020304050607080910111213141516,40,0c,0000
1588182853.7582939,b8:27:eb:18:18:33,-55,fd6f,a1020304050607080910111213141516,40,0c,0000
1588182864.180254,b8:27:eb:18:18:33,-55,fd6f,a1020304050607080910111213141516,40,0c,0000
1588182874.595913,b8:27:eb:18:18:33,-58,fd6f,a1020304050607080910111213141516,40,0c,0000
1588182885.0303764,b8:27:eb:18:18:33,-54,fd6f,a1020304050607080910111213141516,40,0c,0000
1588182895.4771323,b8:27:eb:18:18:33,-74,fd6f,a1020304050607080910111213141516,40,0c,0000
1588182905.930186,b8:27:eb:18:18:33,-59,fd6f,a1020304050607080910111213141516,40,0c,0000
1588183259.6963553,b8:27:eb:18:18:33,-58,fd6f,a1020304050607080910111213141516,40,0c,0000
1588183270.068069,b8:27:eb:18:18:33,-55,fd6f,a1020304050607080910111213141516,40,0c,0000
1588183280.3999522,b8:27:eb:18:18:33,-55,fd6f,a1020304050607080910111213141516,40,0c,0000
1588183290.8127522,b8:27:eb:18:18:33,-40,fd6f,a1020304050607080910111213141516,40,0c,0000
